countryiso3code,date,value,value_min,value_max
ABW,1990.0,2.249,,
ABW,1991.0,2.221,,
ABW,1992.0,2.187,,
ABW,1993.0,2.149,,
ABW,1994.0,2.108,,
ABW,1995.0,2.064,,
ABW,1996.0,2.021,,
ABW,1997.0,1.978,,
ABW,1998.0,1.939,,
ABW,1999.0,1.903,,
ABW,2000.0,1.872,,
ABW,2001.0,1.846,,
ABW,2002.0,1.823,,
ABW,2003.0,1.803,,
ABW,2004.0,1.787,,
ABW,2005.0,1.774,,
ABW,2006.0,1.765,,
ABW,2007.0,1.76,,
ABW,2008.0,1.759,,
ABW,2009.0,1.761,,
ABW,2010.0,1.768,,
ABW,2011.0,1.779,,
ABW,2012.0,1.795,,
ABW,2013.0,1.813,,
ABW,2014.0,1.834,,
ABW,2015.0,1.854,,
ABW,2016.0,1.872,,
ABW,2017.0,1.886,,
ABW,2018.0,1.896,,
ABW,2019.0,1.901,,
ABW,2020.0,1.9136745613452895,1.9188026912362792,1.9103543838828456
AFE,1990.0,12.75304729259147,,
AFE,1991.0,12.61876143525339,,
AFE,1992.0,12.48498756684472,,
AFE,1993.0,12.35628431263106,,
AFE,1994.0,12.23389433152677,,
AFE,1995.0,12.1189058803615,,
AFE,1996.0,12.00876759886436,,
AFE,1997.0,11.902733850602711,,
AFE,1998.0,11.80063487930734,,
AFE,1999.0,11.701536744319458,,
AFE,2000.0,11.6044647631544,,
AFE,2001.0,11.50977050423963,,
AFE,2002.0,11.417829585856811,,
AFE,2003.0,11.326713966436,,
AFE,2004.0,11.23686689473076,,
AFE,2005.0,11.14599435614454,,
AFE,2006.0,11.05177580203015,,
AFE,2007.0,10.955028688853387,,
AFE,2008.0,10.85433500151014,,
AFE,2009.0,10.74823943040548,,
AFE,2010.0,10.635369641577029,,
AFE,2011.0,10.514713594113442,,
AFE,2012.0,10.38583950399731,,
AFE,2013.0,10.25065978239616,,
AFE,2014.0,10.11055633629104,,
AFE,2015.0,9.96711079707792,,
AFE,2016.0,9.8213488572591,,
AFE,2017.0,9.67613529568825,,
AFE,2018.0,9.533266532471089,,
AFE,2019.0,9.39357734283051,,
AFE,2020.0,9.259852654211214,9.26203650121672,9.256769595464204
AFG,1990.0,7.466,,
AFG,1991.0,7.479,,
AFG,1992.0,7.502,,
AFG,1993.0,7.535,,
AFG,1994.0,7.572,,
AFG,1995.0,7.606,,
AFG,1996.0,7.629,,
AFG,1997.0,7.632,,
AFG,1998.0,7.61,,
AFG,1999.0,7.561,,
AFG,2000.0,7.485,,
AFG,2001.0,7.387,,
AFG,2002.0,7.272,,
AFG,2003.0,7.148,,
AFG,2004.0,7.016,,
AFG,2005.0,6.875,,
AFG,2006.0,6.722,,
AFG,2007.0,6.555,,
AFG,2008.0,6.373,,
AFG,2009.0,6.18,,
AFG,2010.0,5.977,,
AFG,2011.0,5.77,,
AFG,2012.0,5.562,,
AFG,2013.0,5.359,,
AFG,2014.0,5.163,,
AFG,2015.0,4.976,,
AFG,2016.0,4.8,,
AFG,2017.0,4.633,,
AFG,2018.0,4.473,,
AFG,2019.0,4.321,,
AFG,2020.0,4.172726886658696,4.176988769798488,4.168885847959803
AGO,1990.0,7.272,,
AGO,1991.0,7.208,,
AGO,1992.0,7.138,,
AGO,1993.0,7.065,,
AGO,1994.0,6.99,,
AGO,1995.0,6.918,,
AGO,1996.0,6.851,,
AGO,1997.0,6.789,,
AGO,1998.0,6.732,,
AGO,1999.0,6.683,,
AGO,2000.0,6.639,,
AGO,2001.0,6.601,,
AGO,2002.0,6.567,,
AGO,2003.0,6.533,,
AGO,2004.0,6.499,,
AGO,2005.0,6.461,,
AGO,2006.0,6.419,,
AGO,2007.0,6.372,,
AGO,2008.0,6.32,,
AGO,2009.0,6.26,,
AGO,2010.0,6.194,,
AGO,2011.0,6.12,,
AGO,2012.0,6.039,,
AGO,2013.0,5.953,,
AGO,2014.0,5.864,,
AGO,2015.0,5.774,,
AGO,2016.0,5.686,,
AGO,2017.0,5.6,,
AGO,2018.0,5.519,,
AGO,2019.0,5.442,,
AGO,2020.0,5.366817739532626,5.369552071169997,5.364659874351594
ALB,1990.0,2.978,,
ALB,1991.0,2.905,,
ALB,1992.0,2.829,,
ALB,1993.0,2.751,,
ALB,1994.0,2.672,,
ALB,1995.0,2.591,,
ALB,1996.0,2.507,,
ALB,1997.0,2.422,,
ALB,1998.0,2.334,,
ALB,1999.0,2.246,,
ALB,2000.0,2.157,,
ALB,2001.0,2.068,,
ALB,2002.0,1.981,,
ALB,2003.0,1.897,,
ALB,2004.0,1.821,,
ALB,2005.0,1.755,,
ALB,2006.0,1.704,,
ALB,2007.0,1.671,,
ALB,2008.0,1.654,,
ALB,2009.0,1.652,,
ALB,2010.0,1.66,,
ALB,2011.0,1.673,,
ALB,2012.0,1.684,,
ALB,2013.0,1.69,,
ALB,2014.0,1.688,,
ALB,2015.0,1.677,,
ALB,2016.0,1.659,,
ALB,2017.0,1.638,,
ALB,2018.0,1.617,,
ALB,2019.0,1.597,,
ALB,2020.0,1.576443471370661,1.5864117469845078,1.5680295275881444
AND,1990.0,0.0,,
AND,1991.0,0.0,,
AND,1992.0,0.0,,
AND,1993.0,0.0,,
AND,1994.0,0.0,,
AND,1995.0,0.0,,
AND,1996.0,0.0,,
AND,1997.0,0.0,,
AND,1998.0,0.0,,
AND,1999.0,0.0,,
AND,2000.0,0.0,,
AND,2001.0,0.0,,
AND,2002.0,0.0,,
AND,2003.0,0.0,,
AND,2004.0,0.0,,
AND,2005.0,0.0,,
AND,2006.0,1.24,,
AND,2007.0,1.18,,
AND,2008.0,1.25,,
AND,2009.0,1.19,,
AND,2010.0,1.27,,
AND,2011.0,0.0,,
AND,2012.0,0.0,,
AND,2013.0,0.0,,
AND,2014.0,0.0,,
AND,2015.0,0.0,,
AND,2016.0,0.0,,
AND,2017.0,0.0,,
AND,2018.0,0.0,,
AND,2019.0,0.0,,
AND,2020.0,0.0,,
ARB,1990.0,5.18683140138278,,
ARB,1991.0,5.0360913500545,,
ARB,1992.0,4.90370982655773,,
ARB,1993.0,4.75005284436056,,
ARB,1994.0,4.59917595844835,,
ARB,1995.0,4.44181871034664,,
ARB,1996.0,4.30418883370249,,
ARB,1997.0,4.17458331496668,,
ARB,1998.0,4.05398060280466,,
ARB,1999.0,3.94360720883609,,
ARB,2000.0,3.84571250984344,,
ARB,2001.0,3.76043671117959,,
ARB,2002.0,3.68728060785318,,
ARB,2003.0,3.6264598797368,,
ARB,2004.0,3.57613557246485,,
ARB,2005.0,3.53757586730291,,
ARB,2006.0,3.50894819741692,,
ARB,2007.0,3.49109363258564,,
ARB,2008.0,3.48070062994695,,
ARB,2009.0,3.47502444929668,,
ARB,2010.0,3.47038388060366,,
ARB,2011.0,3.46310228869235,,
ARB,2012.0,3.45066091158188,,
ARB,2013.0,3.43047695510227,,
ARB,2014.0,3.40207042854914,,
ARB,2015.0,3.36522111169123,,
ARB,2016.0,3.32243727942994,,
ARB,2017.0,3.27648746292235,,
ARB,2018.0,3.23100110132061,,
ARB,2019.0,3.18715713514644,,
ARB,2020.0,3.146135344158844,3.1526511305126705,3.1400209668874064
ARE,1990.0,4.454,,
ARE,1991.0,4.253,,
ARE,1992.0,4.041,,
ARE,1993.0,3.827,,
ARE,1994.0,3.618,,
ARE,1995.0,3.418,,
ARE,1996.0,3.232,,
ARE,1997.0,3.062,,
ARE,1998.0,2.907,,
ARE,1999.0,2.768,,
ARE,2000.0,2.644,,
ARE,2001.0,2.533,,
ARE,2002.0,2.432,,
ARE,2003.0,2.337,,
ARE,2004.0,2.247,,
ARE,2005.0,2.161,,
ARE,2006.0,2.081,,
ARE,2007.0,2.006,,
ARE,2008.0,1.939,,
ARE,2009.0,1.877,,
ARE,2010.0,1.819,,
ARE,2011.0,1.763,,
ARE,2012.0,1.708,,
ARE,2013.0,1.651,,
ARE,2014.0,1.595,,
ARE,2015.0,1.541,,
ARE,2016.0,1.491,,
ARE,2017.0,1.448,,
ARE,2018.0,1.413,,
ARE,2019.0,1.387,,
ARE,2020.0,1.3463888268653532,1.3512358046997857,1.3425570265714453
ARG,1990.0,2.997,,
ARG,1991.0,2.965,,
ARG,1992.0,2.925,,
ARG,1993.0,2.879,,
ARG,1994.0,2.828,,
ARG,1995.0,2.773,,
ARG,1996.0,2.718,,
ARG,1997.0,2.666,,
ARG,1998.0,2.618,,
ARG,1999.0,2.577,,
ARG,2000.0,2.542,,
ARG,2001.0,2.512,,
ARG,2002.0,2.486,,
ARG,2003.0,2.461,,
ARG,2004.0,2.438,,
ARG,2005.0,2.416,,
ARG,2006.0,2.397,,
ARG,2007.0,2.38,,
ARG,2008.0,2.366,,
ARG,2009.0,2.355,,
ARG,2010.0,2.346,,
ARG,2011.0,2.338,,
ARG,2012.0,2.33,,
ARG,2013.0,2.322,,
ARG,2014.0,2.312,,
ARG,2015.0,2.301,,
ARG,2016.0,2.288,,
ARG,2017.0,2.275,,
ARG,2018.0,2.261,,
ARG,2019.0,2.247,,
ARG,2020.0,2.2339653041779353,2.2393450563036326,2.231399422129874
ARM,1990.0,2.544,,
ARM,1991.0,2.484,,
ARM,1992.0,2.4,,
ARM,1993.0,2.297,,
ARM,1994.0,2.179,,
ARM,1995.0,2.056,,
ARM,1996.0,1.938,,
ARM,1997.0,1.832,,
ARM,1998.0,1.747,,
ARM,1999.0,1.685,,
ARM,2000.0,1.648,,
ARM,2001.0,1.634,,
ARM,2002.0,1.635,,
ARM,2003.0,1.645,,
ARM,2004.0,1.659,,
ARM,2005.0,1.675,,
ARM,2006.0,1.69,,
ARM,2007.0,1.702,,
ARM,2008.0,1.712,,
ARM,2009.0,1.719,,
ARM,2010.0,1.722,,
ARM,2011.0,1.724,,
ARM,2012.0,1.725,,
ARM,2013.0,1.728,,
ARM,2014.0,1.732,,
ARM,2015.0,1.738,,
ARM,2016.0,1.744,,
ARM,2017.0,1.75,,
ARM,2018.0,1.755,,
ARM,2019.0,1.758,,
ARM,2020.0,1.7634515489749076,1.7705621116833061,1.7524434244671665
ASM,1990.0,0.0,,
ASM,1991.0,0.0,,
ASM,1992.0,0.0,,
ASM,1993.0,0.0,,
ASM,1994.0,0.0,,
ASM,1995.0,0.0,,
ASM,1996.0,0.0,,
ASM,1997.0,0.0,,
ASM,1998.0,0.0,,
ASM,1999.0,0.0,,
ASM,2000.0,0.0,,
ASM,2001.0,0.0,,
ASM,2002.0,0.0,,
ASM,2003.0,0.0,,
ASM,2004.0,0.0,,
ASM,2005.0,0.0,,
ASM,2006.0,0.0,,
ASM,2007.0,0.0,,
ASM,2008.0,0.0,,
ASM,2009.0,0.0,,
ASM,2010.0,0.0,,
ASM,2011.0,0.0,,
ASM,2012.0,0.0,,
ASM,2013.0,0.0,,
ASM,2014.0,0.0,,
ASM,2015.0,0.0,,
ASM,2016.0,0.0,,
ASM,2017.0,0.0,,
ASM,2018.0,0.0,,
ASM,2019.0,0.0,,
ASM,2020.0,0.0,,
ATG,1990.0,2.067,,
ATG,1991.0,2.075,,
ATG,1992.0,2.088,,
ATG,1993.0,2.107,,
ATG,1994.0,2.128,,
ATG,1995.0,2.15,,
ATG,1996.0,2.17,,
ATG,1997.0,2.187,,
ATG,1998.0,2.199,,
ATG,1999.0,2.203,,
ATG,2000.0,2.2,,
ATG,2001.0,2.187,,
ATG,2002.0,2.166,,
ATG,2003.0,2.14,,
ATG,2004.0,2.109,,
ATG,2005.0,2.077,,
ATG,2006.0,2.048,,
ATG,2007.0,2.023,,
ATG,2008.0,2.005,,
ATG,2009.0,1.993,,
ATG,2010.0,1.988,,
ATG,2011.0,1.989,,
ATG,2012.0,1.993,,
ATG,2013.0,1.998,,
ATG,2014.0,2.001,,
ATG,2015.0,2.003,,
ATG,2016.0,2.003,,
ATG,2017.0,1.999,,
ATG,2018.0,1.994,,
ATG,2019.0,1.987,,
ATG,2020.0,1.9828737669564944,1.9905781005099055,1.978370781161638
AUS,1990.0,1.902,,
AUS,1991.0,1.849,,
AUS,1992.0,1.888,,
AUS,1993.0,1.859,,
AUS,1994.0,1.842,,
AUS,1995.0,1.822,,
AUS,1996.0,1.796,,
AUS,1997.0,1.778,,
AUS,1998.0,1.762,,
AUS,1999.0,1.755,,
AUS,2000.0,1.756,,
AUS,2001.0,1.739,,
AUS,2002.0,1.756,,
AUS,2003.0,1.748,,
AUS,2004.0,1.768,,
AUS,2005.0,1.807,,
AUS,2006.0,1.908,,
AUS,2007.0,1.959,,
AUS,2008.0,1.984,,
AUS,2009.0,1.971,,
AUS,2010.0,1.928,,
AUS,2011.0,1.926,,
AUS,2012.0,1.92,,
AUS,2013.0,1.855,,
AUS,2014.0,1.826,,
AUS,2015.0,1.814,,
AUS,2016.0,1.752,,
AUS,2017.0,1.741,,
AUS,2018.0,1.74,,
AUS,2019.0,1.657,,
AUS,2020.0,1.6591361600922483,1.684828949172915,1.6362021183025142
AUT,1990.0,1.46,,
AUT,1991.0,1.51,,
AUT,1992.0,1.51,,
AUT,1993.0,1.5,,
AUT,1994.0,1.47,,
AUT,1995.0,1.42,,
AUT,1996.0,1.45,,
AUT,1997.0,1.39,,
AUT,1998.0,1.37,,
AUT,1999.0,1.34,,
AUT,2000.0,1.36,,
AUT,2001.0,1.33,,
AUT,2002.0,1.39,,
AUT,2003.0,1.38,,
AUT,2004.0,1.42,,
AUT,2005.0,1.41,,
AUT,2006.0,1.41,,
AUT,2007.0,1.38,,
AUT,2008.0,1.42,,
AUT,2009.0,1.39,,
AUT,2010.0,1.44,,
AUT,2011.0,1.43,,
AUT,2012.0,1.44,,
AUT,2013.0,1.44,,
AUT,2014.0,1.46,,
AUT,2015.0,1.49,,
AUT,2016.0,1.53,,
AUT,2017.0,1.52,,
AUT,2018.0,1.47,,
AUT,2019.0,1.46,,
AUT,2020.0,0.0,,
AZE,1990.0,2.74,,
AZE,1991.0,2.87,,
AZE,1992.0,2.74,,
AZE,1993.0,2.7,,
AZE,1994.0,2.52,,
AZE,1995.0,2.29,,
AZE,1996.0,2.06,,
AZE,1997.0,2.07,,
AZE,1998.0,2.0,,
AZE,1999.0,2.07,,
AZE,2000.0,2.0,,
AZE,2001.0,1.8,,
AZE,2002.0,1.8,,
AZE,2003.0,1.9,,
AZE,2004.0,2.0535,,
AZE,2005.0,2.0,,
AZE,2006.0,1.97,,
AZE,2007.0,1.97,,
AZE,2008.0,1.9,,
AZE,2009.0,1.82,,
AZE,2010.0,1.92,,
AZE,2011.0,1.96,,
AZE,2012.0,2.0,,
AZE,2013.0,1.98,,
AZE,2014.0,1.97,,
AZE,2015.0,1.94,,
AZE,2016.0,1.9,,
AZE,2017.0,1.75,,
AZE,2018.0,1.73,,
AZE,2019.0,1.8,,
AZE,2020.0,1.7850092687190653,1.8777017954757225,1.705645176619922
BDI,1990.0,7.405,,
BDI,1991.0,7.371,,
BDI,1992.0,7.329,,
BDI,1993.0,7.284,,
BDI,1994.0,7.235,,
BDI,1995.0,7.185,,
BDI,1996.0,7.135,,
BDI,1997.0,7.083,,
BDI,1998.0,7.03,,
BDI,1999.0,6.976,,
BDI,2000.0,6.92,,
BDI,2001.0,6.862,,
BDI,2002.0,6.801,,
BDI,2003.0,6.736,,
BDI,2004.0,6.666,,
BDI,2005.0,6.593,,
BDI,2006.0,6.515,,
BDI,2007.0,6.435,,
BDI,2008.0,6.352,,
BDI,2009.0,6.267,,
BDI,2010.0,6.179,,
BDI,2011.0,6.088,,
BDI,2012.0,5.994,,
BDI,2013.0,5.897,,
BDI,2014.0,5.797,,
BDI,2015.0,5.697,,
BDI,2016.0,5.599,,
BDI,2017.0,5.502,,
BDI,2018.0,5.41,,
BDI,2019.0,5.321,,
BDI,2020.0,5.233821584327683,5.237573320263869,5.2313302928736904
BEL,1990.0,1.62,,
BEL,1991.0,1.66,,
BEL,1992.0,1.65,,
BEL,1993.0,1.61,,
BEL,1994.0,1.56,,
BEL,1995.0,1.56,,
BEL,1996.0,1.59,,
BEL,1997.0,1.6,,
BEL,1998.0,1.6,,
BEL,1999.0,1.62,,
BEL,2000.0,1.67,,
BEL,2001.0,1.67,,
BEL,2002.0,1.65,,
BEL,2003.0,1.67,,
BEL,2004.0,1.72,,
BEL,2005.0,1.76,,
BEL,2006.0,1.8,,
BEL,2007.0,1.82,,
BEL,2008.0,1.85,,
BEL,2009.0,1.84,,
BEL,2010.0,1.86,,
BEL,2011.0,1.81,,
BEL,2012.0,1.8,,
BEL,2013.0,1.76,,
BEL,2014.0,1.74,,
BEL,2015.0,1.7,,
BEL,2016.0,1.68,,
BEL,2017.0,1.65,,
BEL,2018.0,1.62,,
BEL,2019.0,1.57,,
BEL,2020.0,1.5452555837231003,1.5623503635701217,1.5198772400404614
BEN,1990.0,6.744,,
BEN,1991.0,6.677,,
BEN,1992.0,6.603,,
BEN,1993.0,6.526,,
BEN,1994.0,6.446,,
BEN,1995.0,6.364,,
BEN,1996.0,6.282,,
BEN,1997.0,6.199,,
BEN,1998.0,6.118,,
BEN,1999.0,6.038,,
BEN,2000.0,5.962,,
BEN,2001.0,5.889,,
BEN,2002.0,5.82,,
BEN,2003.0,5.754,,
BEN,2004.0,5.691,,
BEN,2005.0,5.632,,
BEN,2006.0,5.576,,
BEN,2007.0,5.522,,
BEN,2008.0,5.469,,
BEN,2009.0,5.416,,
BEN,2010.0,5.362,,
BEN,2011.0,5.305,,
BEN,2012.0,5.246,,
BEN,2013.0,5.183,,
BEN,2014.0,5.116,,
BEN,2015.0,5.047,,
BEN,2016.0,4.977,,
BEN,2017.0,4.906,,
BEN,2018.0,4.836,,
BEN,2019.0,4.767,,
BEN,2020.0,4.70134296312522,4.703350723859269,4.698490142032689
BFA,1990.0,7.007,,
BFA,1991.0,6.979,,
BFA,1992.0,6.95,,
BFA,1993.0,6.917,,
BFA,1994.0,6.882,,
BFA,1995.0,6.844,,
BFA,1996.0,6.801,,
BFA,1997.0,6.754,,
BFA,1998.0,6.704,,
BFA,1999.0,6.65,,
BFA,2000.0,6.592,,
BFA,2001.0,6.531,,
BFA,2002.0,6.468,,
BFA,2003.0,6.403,,
BFA,2004.0,6.335,,
BFA,2005.0,6.265,,
BFA,2006.0,6.192,,
BFA,2007.0,6.116,,
BFA,2008.0,6.036,,
BFA,2009.0,5.953,,
BFA,2010.0,5.867,,
BFA,2011.0,5.781,,
BFA,2012.0,5.693,,
BFA,2013.0,5.606,,
BFA,2014.0,5.521,,
BFA,2015.0,5.436,,
BFA,2016.0,5.353,,
BFA,2017.0,5.271,,
BFA,2018.0,5.189,,
BFA,2019.0,5.109,,
BFA,2020.0,5.031216310359174,5.0341450367034515,5.0291697068942876
BGD,1990.0,4.495,,
BGD,1991.0,4.315,,
BGD,1992.0,4.146,,
BGD,1993.0,3.99,,
BGD,1994.0,3.846,,
BGD,1995.0,3.713,,
BGD,1996.0,3.591,,
BGD,1997.0,3.478,,
BGD,1998.0,3.371,,
BGD,1999.0,3.269,,
BGD,2000.0,3.169,,
BGD,2001.0,3.07,,
BGD,2002.0,2.973,,
BGD,2003.0,2.876,,
BGD,2004.0,2.782,,
BGD,2005.0,2.691,,
BGD,2006.0,2.604,,
BGD,2007.0,2.523,,
BGD,2008.0,2.449,,
BGD,2009.0,2.382,,
BGD,2010.0,2.324,,
BGD,2011.0,2.273,,
BGD,2012.0,2.228,,
BGD,2013.0,2.188,,
BGD,2014.0,2.152,,
BGD,2015.0,2.12,,
BGD,2016.0,2.09,,
BGD,2017.0,2.062,,
BGD,2018.0,2.036,,
BGD,2019.0,2.011,,
BGD,2020.0,1.983329195437009,1.987048305828219,1.9805585008038273
BGR,1990.0,1.82,,
BGR,1991.0,1.66,,
BGR,1992.0,1.55,,
BGR,1993.0,1.46,,
BGR,1994.0,1.37,,
BGR,1995.0,1.23,,
BGR,1996.0,1.23,,
BGR,1997.0,1.09,,
BGR,1998.0,1.11,,
BGR,1999.0,1.23,,
BGR,2000.0,1.26,,
BGR,2001.0,1.21,,
BGR,2002.0,1.23,,
BGR,2003.0,1.26,,
BGR,2004.0,1.33,,
BGR,2005.0,1.37,,
BGR,2006.0,1.44,,
BGR,2007.0,1.49,,
BGR,2008.0,1.56,,
BGR,2009.0,1.66,,
BGR,2010.0,1.57,,
BGR,2011.0,1.51,,
BGR,2012.0,1.5,,
BGR,2013.0,1.48,,
BGR,2014.0,1.53,,
BGR,2015.0,1.53,,
BGR,2016.0,1.54,,
BGR,2017.0,1.56,,
BGR,2018.0,1.56,,
BGR,2019.0,1.58,,
BGR,2020.0,1.5953845314927606,1.6525516118796388,1.5281689196277848
BHR,1990.0,3.732,,
BHR,1991.0,3.599,,
BHR,1992.0,3.471,,
BHR,1993.0,3.352,,
BHR,1994.0,3.244,,
BHR,1995.0,3.147,,
BHR,1996.0,3.062,,
BHR,1997.0,2.987,,
BHR,1998.0,2.919,,
BHR,1999.0,2.856,,
BHR,2000.0,2.795,,
BHR,2001.0,2.731,,
BHR,2002.0,2.663,,
BHR,2003.0,2.59,,
BHR,2004.0,2.514,,
BHR,2005.0,2.436,,
BHR,2006.0,2.363,,
BHR,2007.0,2.297,,
BHR,2008.0,2.241,,
BHR,2009.0,2.197,,
BHR,2010.0,2.164,,
BHR,2011.0,2.139,,
BHR,2012.0,2.118,,
BHR,2013.0,2.098,,
BHR,2014.0,2.078,,
BHR,2015.0,2.056,,
BHR,2016.0,2.033,,
BHR,2017.0,2.01,,
BHR,2018.0,1.987,,
BHR,2019.0,1.964,,
BHR,2020.0,1.939748361433799,1.9490320032885196,1.9352434012648143
BHS,1990.0,2.64,,
BHS,1991.0,2.633,,
BHS,1992.0,2.623,,
BHS,1993.0,2.602,,
BHS,1994.0,2.568,,
BHS,1995.0,2.515,,
BHS,1996.0,2.444,,
BHS,1997.0,2.358,,
BHS,1998.0,2.264,,
BHS,1999.0,2.166,,
BHS,2000.0,2.073,,
BHS,2001.0,1.993,,
BHS,2002.0,1.931,,
BHS,2003.0,1.889,,
BHS,2004.0,1.867,,
BHS,2005.0,1.863,,
BHS,2006.0,1.869,,
BHS,2007.0,1.877,,
BHS,2008.0,1.881,,
BHS,2009.0,1.877,,
BHS,2010.0,1.865,,
BHS,2011.0,1.847,,
BHS,2012.0,1.828,,
BHS,2013.0,1.81,,
BHS,2014.0,1.794,,
BHS,2015.0,1.782,,
BHS,2016.0,1.771,,
BHS,2017.0,1.762,,
BHS,2018.0,1.752,,
BHS,2019.0,1.743,,
BHS,2020.0,1.732594601105167,1.738101741824859,1.7221160071410195
BIH,1990.0,1.772,,
BIH,1991.0,1.748,,
BIH,1992.0,1.73,,
BIH,1993.0,1.72,,
BIH,1994.0,1.713,,
BIH,1995.0,1.706,,
BIH,1996.0,1.69,,
BIH,1997.0,1.662,,
BIH,1998.0,1.619,,
BIH,1999.0,1.562,,
BIH,2000.0,1.497,,
BIH,2001.0,1.432,,
BIH,2002.0,1.374,,
BIH,2003.0,1.33,,
BIH,2004.0,1.301,,
BIH,2005.0,1.288,,
BIH,2006.0,1.288,,
BIH,2007.0,1.295,,
BIH,2008.0,1.303,,
BIH,2009.0,1.311,,
BIH,2010.0,1.315,,
BIH,2011.0,1.315,,
BIH,2012.0,1.313,,
BIH,2013.0,1.309,,
BIH,2014.0,1.303,,
BIH,2015.0,1.296,,
BIH,2016.0,1.286,,
BIH,2017.0,1.276,,
BIH,2018.0,1.265,,
BIH,2019.0,1.254,,
BIH,2020.0,1.2422254947143214,1.2476145698211305,1.2376733977534002
BLR,1990.0,1.913,,
BLR,1991.0,1.805,,
BLR,1992.0,1.764,,
BLR,1993.0,1.623,,
BLR,1994.0,1.533,,
BLR,1995.0,1.406,,
BLR,1996.0,1.335,,
BLR,1997.0,1.25,,
BLR,1998.0,1.3,,
BLR,1999.0,1.31,,
BLR,2000.0,1.317,,
BLR,2001.0,1.286,,
BLR,2002.0,1.24,,
BLR,2003.0,1.232,,
BLR,2004.0,1.233,,
BLR,2005.0,1.252,,
BLR,2006.0,1.335,,
BLR,2007.0,1.429,,
BLR,2008.0,1.488,,
BLR,2009.0,1.509,,
BLR,2010.0,1.494,,
BLR,2011.0,1.515,,
BLR,2012.0,1.62,,
BLR,2013.0,1.668,,
BLR,2014.0,1.696,,
BLR,2015.0,1.724,,
BLR,2016.0,1.733,,
BLR,2017.0,1.541,,
BLR,2018.0,1.448,,
BLR,2019.0,1.382,,
BLR,2020.0,0.0,,
BLZ,1990.0,4.508,,
BLZ,1991.0,4.436,,
BLZ,1992.0,4.363,,
BLZ,1993.0,4.286,,
BLZ,1994.0,4.201,,
BLZ,1995.0,4.109,,
BLZ,1996.0,4.01,,
BLZ,1997.0,3.908,,
BLZ,1998.0,3.805,,
BLZ,1999.0,3.703,,
BLZ,2000.0,3.601,,
BLZ,2001.0,3.497,,
BLZ,2002.0,3.392,,
BLZ,2003.0,3.286,,
BLZ,2004.0,3.18,,
BLZ,2005.0,3.077,,
BLZ,2006.0,2.98,,
BLZ,2007.0,2.893,,
BLZ,2008.0,2.816,,
BLZ,2009.0,2.749,,
BLZ,2010.0,2.69,,
BLZ,2011.0,2.638,,
BLZ,2012.0,2.588,,
BLZ,2013.0,2.539,,
BLZ,2014.0,2.489,,
BLZ,2015.0,2.439,,
BLZ,2016.0,2.391,,
BLZ,2017.0,2.346,,
BLZ,2018.0,2.307,,
BLZ,2019.0,2.274,,
BLZ,2020.0,2.2324571280384107,2.236698485494295,2.2292552792801437
BMU,1990.0,0.0,,
BMU,1991.0,0.0,,
BMU,1992.0,0.0,,
BMU,1993.0,0.0,,
BMU,1994.0,0.0,,
BMU,1995.0,1.8,,
BMU,1996.0,0.0,,
BMU,1997.0,0.0,,
BMU,1998.0,0.0,,
BMU,1999.0,0.0,,
BMU,2000.0,1.74,,
BMU,2001.0,1.75,,
BMU,2002.0,1.77,,
BMU,2003.0,1.8,,
BMU,2004.0,1.78,,
BMU,2005.0,1.76,,
BMU,2006.0,1.76,,
BMU,2007.0,1.76,,
BMU,2008.0,1.77,,
BMU,2009.0,1.76,,
BMU,2010.0,1.76,,
BMU,2011.0,1.59,,
BMU,2012.0,1.59,,
BMU,2013.0,1.63,,
BMU,2014.0,1.63,,
BMU,2015.0,1.62,,
BMU,2016.0,1.61,,
BMU,2017.0,1.6,,
BMU,2018.0,1.6,,
BMU,2019.0,1.59,,
BMU,2020.0,0.0,,
BOL,1990.0,4.89,,
BOL,1991.0,4.81,,
BOL,1992.0,4.726,,
BOL,1993.0,4.64,,
BOL,1994.0,4.553,,
BOL,1995.0,4.466,,
BOL,1996.0,4.381,,
BOL,1997.0,4.297,,
BOL,1998.0,4.214,,
BOL,1999.0,4.133,,
BOL,2000.0,4.051,,
BOL,2001.0,3.969,,
BOL,2002.0,3.885,,
BOL,2003.0,3.798,,
BOL,2004.0,3.71,,
BOL,2005.0,3.621,,
BOL,2006.0,3.533,,
BOL,2007.0,3.447,,
BOL,2008.0,3.364,,
BOL,2009.0,3.287,,
BOL,2010.0,3.213,,
BOL,2011.0,3.143,,
BOL,2012.0,3.076,,
BOL,2013.0,3.01,,
BOL,2014.0,2.947,,
BOL,2015.0,2.886,,
BOL,2016.0,2.829,,
BOL,2017.0,2.777,,
BOL,2018.0,2.73,,
BOL,2019.0,2.688,,
BOL,2020.0,2.639960939931727,2.643766935390563,2.63771298328311
BRA,1990.0,2.902,,
BRA,1991.0,2.822,,
BRA,1992.0,2.754,,
BRA,1993.0,2.693,,
BRA,1994.0,2.639,,
BRA,1995.0,2.588,,
BRA,1996.0,2.536,,
BRA,1997.0,2.483,,
BRA,1998.0,2.426,,
BRA,1999.0,2.365,,
BRA,2000.0,2.3,,
BRA,2001.0,2.232,,
BRA,2002.0,2.163,,
BRA,2003.0,2.097,,
BRA,2004.0,2.033,,
BRA,2005.0,1.976,,
BRA,2006.0,1.925,,
